step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
6,PAYMENT,2006.1,C751702204,202.0,0.0,M1931691665,0.0,0.0,0
6,CASH_OUT,33332.86,C685428529,33332.86,0.0,C1626759869,31002.0,0.0,1
6,TRANSFER,25975.86,C864622150,25975.86,0.0,C41792607,0.0,0.0,1
6,PAYMENT,11483.48,C1410894140,278208.67,266725.19,M582627504,0.0,0.0,0
6,PAYMENT,17456.35,C760159709,16877.0,0.0,M1531478195,0.0,0.0,0
6,TRANSFER,33332.86,C2025652936,33332.86,0.0,C1662235713,0.0,0.0,1
6,CASH_OUT,21128.42,C728756246,17688.6,0.0,C7313260,102399.0,52795.84,0
6,PAYMENT,19227.1,C151781803,20765.0,1537.9,M965874704,0.0,0.0,0
6,PAYMENT,22850.11,C332750956,19807.0,0.0,M1811235424,0.0,0.0,0
6,TRANSFER,13704.0,C1735554279,13704.0,0.0,C12793273,0.0,1658746.09,1
6,CASH_OUT,85354.69,C158801009,85354.69,0.0,C382431057,11170.0,10612.55,1
6,CASH_OUT,17246.0,C1484518113,17246.0,0.0,C978609035,0.0,17246.0,1
7,PAYMENT,1380.11,C966319659,0.0,0.0,M500513427,0.0,0.0,0
7,PAYMENT,2760.81,C1834978543,10439.0,7678.19,M2008009697,0.0,0.0,0
7,CASH_OUT,34329.61,C861361568,0.0,0.0,C373415859,102287.0,184532.58,0
7,PAYMENT,3371.46,C350812047,39033.0,35661.54,M1030551264,0.0,0.0,0
7,PAYMENT,3214.67,C203526568,46181.0,42966.33,M1642286060,0.0,0.0,0
7,PAYMENT,2136.5,C547525391,9306.0,7169.5,M1621023573,0.0,0.0,0
7,PAYMENT,5412.47,C1330607698,176.0,0.0,M1862112967,0.0,0.0,0
7,TRANSFER,21729.0,C1686905633,21729.0,0.0,C824421402,0.0,0.0,1
7,CASH_OUT,21729.0,C693427358,21729.0,0.0,C1101441872,27335.0,0.0,1
7,TRANSFER,5460002.91,C666654362,5460002.91,0.0,C1726301214,0.0,0.0,1
7,CASH_OUT,5460002.91,C1588880909,5460002.91,0.0,C1570256460,0.0,9281535.44,1
7,CASH_OUT,253387.93,C834072264,0.0,0.0,C515132998,335362.53,776179.51,0
7,CASH_OUT,265115.26,C216577438,0.0,0.0,C1335946878,298544.45,828787.26,0
7,PAYMENT,3417.61,C869304868,0.0,0.0,M626754729,0.0,0.0,0
7,TRANSFER,314342.55,C944980004,0.0,0.0,C803116137,17873696.02,23768107.88,0
7,PAYMENT,9246.48,C1548028256,0.0,0.0,M2086649316,0.0,0.0,0
7,CASH_OUT,503336.24,C668460433,0.0,0.0,C1354725727,2288329.07,4529886.44,0
7,TRANSFER,334693.87,C9941880,0.0,0.0,C1262822392,20937587.49,22641471.24,0
7,PAYMENT,3343.03,C221850042,45587.82,42244.79,M1627520381,0.0,0.0,0
7,CASH_OUT,578514.87,C1650994894,0.0,0.0,C1013700132,1028715.12,1431686.33,0
7,PAYMENT,5989.35,C1551320304,15756.0,9766.65,M1807913019,0.0,0.0,0
7,CASH_IN,155227.78,C1739881265,6805960.15,6961187.93,C1606102556,156236.0,0.0,0
7,PAYMENT,218.19,C640393898,155704.0,155485.81,M1443909252,0.0,0.0,0
7,PAYMENT,6690.11,C1348886991,129216.0,122525.89,M1775743481,0.0,0.0,0
7,TRANSFER,57745.79,C1468240798,502803.0,445057.21,C339082934,181817.76,0.0,0
7,PAYMENT,3976.03,C2068935691,1492.0,0.0,M792518063,0.0,0.0,0
7,PAYMENT,1421.02,C705554830,34524.7,33103.68,M2042795873,0.0,0.0,0
7,PAYMENT,5368.23,C238381376,98643.0,93274.77,M949557121,0.0,0.0,0
7,PAYMENT,1519.45,C1640383742,106483.0,104963.55,M213560315,0.0,0.0,0
7,PAYMENT,11465.17,C479531961,0.0,0.0,M1956355202,0.0,0.0,0
7,PAYMENT,6970.55,C590284208,0.0,0.0,M278853760,0.0,0.0,0
7,CASH_OUT,262434.54,C383717053,262434.54,0.0,C380242442,19525.79,438233.86,1
7,TRANSFER,262434.54,C2101686389,262434.54,0.0,C612008977,0.0,0.0,1
7,TRANSFER,164.0,C1455969984,164.0,0.0,C2119910556,0.0,0.0,1
7,CASH_OUT,164.0,C1173659886,164.0,0.0,C1769947269,4068.0,0.0,1
7,CASH_OUT,441445.58,C398085606,441445.58,0.0,C2072030256,98993.5,0.0,1
7,TRANSFER,441445.58,C1023505879,441445.58,0.0,C847761155,0.0,0.0,1
7,TRANSFER,21571.0,C786114805,21571.0,0.0,C1666314150,0.0,0.0,1
7,CASH_OUT,21571.0,C452475723,21571.0,0.0,C2089016471,30797.41,71140.3,1
7,CASH_OUT,141917.76,C1037000742,0.0,0.0,C667346055,10415456.02,10194649.73,0
7,PAYMENT,2612.07,C1105782740,8135.91,5523.84,M137410725,0.0,0.0,0
7,PAYMENT,5138.36,C2131438577,3151.0,0.0,M441482912,0.0,0.0,0
7,PAYMENT,3232.99,C1207229581,51202.0,47969.01,M1755303688,0.0,0.0,0
7,PAYMENT,4278.17,C1054265918,27.0,0.0,M1930595130,0.0,0.0,0
7,TRANSFER,599342.88,C1340283293,51763.0,0.0,C2117043942,59566.12,148900.44,0
7,PAYMENT,15252.67,C636370134,58247.0,42994.33,M1932190364,0.0,0.0,0
7,PAYMENT,14825.9,C603574478,509595.0,494769.1,M1405108810,0.0,0.0,0
7,TRANSFER,149059.17,C283900751,510404.0,361344.83,C2036926986,5870.0,45538.4,0
7,TRANSFER,518041.64,C1342613143,42686.16,0.0,C1028574311,0.0,1305828.01,0
7,TRANSFER,437410.02,C1478168970,100589.0,0.0,C1456465598,17384.73,87715.94,0
7,CASH_OUT,13469.46,C1558844228,0.0,0.0,C500153041,157465.0,212257.37,0
7,DEBIT,42806.74,C1882748959,69865.68,27058.94,C329829198,4453895.71,5102121.72,0
7,CASH_IN,303327.18,C1899777429,824894.36,1128221.54,C1419794148,3478068.02,4871037.9,0
7,CASH_IN,85034.63,C816288886,2745197.97,2830232.59,C1670989986,205483.65,117034.28,0
7,TRANSFER,740455.48,C1812723956,14827.0,0.0,C257999182,30496.0,2324423.73,0
7,PAYMENT,4549.53,C1067276438,5168.0,618.47,M1842314313,0.0,0.0,0
8,CASH_IN,15601.01,C629474929,8502924.28,8518525.3,C1805683209,5859279.22,7428081.5,0
8,TRANSFER,483181.51,C1862665586,486.0,0.0,C51626955,187365.39,1129092.65,0
8,PAYMENT,9788.98,C438769404,91072.54,81283.57,M482686466,0.0,0.0,0
8,CASH_IN,344191.57,C419194636,3040107.8,3384299.37,C1870237274,1640867.13,1180032.06,0
8,CASH_IN,76653.49,C1412417153,14180.0,90833.49,C301121080,97613.25,20959.77,0
8,CASH_OUT,257676.56,C436889639,0.0,0.0,C580441921,443510.49,1278933.03,0
8,CASH_IN,20303.92,C181681293,5072587.34,5092891.26,C195600860,23553.39,0.0,0
8,CASH_IN,20879.3,C43891835,3360398.39,3381277.69,C2066777507,24156.59,3277.29,0
8,PAYMENT,10782.93,C1948560607,0.0,0.0,M427925708,0.0,0.0,0
8,CASH_OUT,327603.4,C208559954,0.0,0.0,C1448947115,1740573.4,2818380.14,0
8,DEBIT,5840.92,C1736655004,0.0,0.0,C278407008,140112.18,136405.86,0
8,TRANSFER,345444.43,C666581374,3820685.42,3475240.99,C2090186380,2275943.31,2565465.84,0
8,CASH_IN,174982.26,C1931571885,7833800.81,8008783.08,C1298314970,353877.69,300641.87,0
8,TRANSFER,1046748.17,C622713687,90496.0,0.0,C2040656033,0.0,8124431.39,0
8,PAYMENT,5869.02,C1130508577,0.0,0.0,M1099038981,0.0,0.0,0
8,CASH_OUT,418300.1,C817047449,204352.02,0.0,C1065997164,2137644.25,2826797.81,0
8,CASH_IN,250649.65,C173614613,181562.12,432211.77,C1671179293,937586.99,686937.33,0
8,CASH_IN,157073.56,C386432497,8497415.83,8654489.39,C1838584624,12046849.81,11889776.25,0
8,PAYMENT,41429.31,C850993688,0.0,0.0,M1099238774,0.0,0.0,0
8,CASH_IN,554965.93,C905214079,5513213.55,6068179.48,C861958315,1141884.54,531628.29,0
8,CASH_IN,46203.06,C211625672,2826749.27,2872952.33,C1645903235,99451.1,31924.63,0
8,PAYMENT,9813.68,C1313257696,100773.0,90959.32,M28227105,0.0,0.0,0
8,CASH_OUT,189556.86,C864936220,432238.94,242682.08,C777863332,341432.53,585930.77,0
8,CASH_IN,113639.22,C1670946050,5242939.02,5356578.24,C569675628,356295.34,242656.13,0
8,CASH_OUT,143733.34,C1158048713,0.0,0.0,C1034584766,5015719.41,7164410.37,0
8,CASH_IN,145164.85,C93189570,7549991.55,7695156.4,C988705496,607565.56,654641.84,0
8,PAYMENT,1981.86,C1571894273,61776.0,59794.14,M1340854901,0.0,0.0,0
8,CASH_OUT,56568.85,C760972690,14658.0,0.0,C1937294500,831970.94,893126.62,0
8,CASH_IN,133396.43,C646913062,2757435.16,2890831.58,C1491213790,1897563.64,1679978.85,0
8,TRANSFER,251495.27,C444339338,314.0,0.0,C1232088827,29030.02,280525.29,0
8,PAYMENT,25876.51,C887793526,0.0,0.0,M742666453,0.0,0.0,0
8,CASH_OUT,313196.97,C887939142,0.0,0.0,C1325038895,780973.57,1943673.08,0
8,CASH_IN,48283.25,C1593975616,3128485.79,3176769.04,C1161820020,214620.64,0.0,0
8,TRANSFER,1509461.84,C832977140,0.0,0.0,C1768641212,2345808.71,3922199.3,0
8,CASH_IN,860.46,C898151325,7678814.38,7679674.84,C604555852,320329.73,508591.09,0
8,CASH_OUT,137204.07,C162402835,298.0,0.0,C175382361,110625.15,338541.28,0
8,CASH_IN,121412.35,C1385064007,4005604.69,4127017.04,C1132146097,274871.2,0.0,0
8,CASH_IN,9906.01,C742214593,4667501.4,4677407.41,C1378523254,144065.76,50629.66,0
8,CASH_OUT,80521.47,C1758218075,0.0,0.0,C736236438,89571.91,13984.22,0
8,CASH_OUT,187973.29,C1366343981,0.0,0.0,C2116802101,332317.06,1187770.16,0
8,PAYMENT,273.69,C1261490074,0.0,0.0,M1048524951,0.0,0.0,0
8,CASH_OUT,468239.2,C1330539161,0.0,0.0,C1379031360,3571243.29,4200399.97,0
8,PAYMENT,30416.46,C1471772200,0.0,0.0,M1674433873,0.0,0.0,0
8,PAYMENT,17162.78,C1880863132,0.0,0.0,M832888192,0.0,0.0,0
8,CASH_OUT,271189.65,C1897305098,10568.0,0.0,C1150043970,0.0,123050.78,0
8,PAYMENT,6030.81,C191620714,103915.0,97884.19,M2085525437,0.0,0.0,0
8,CASH_IN,125144.59,C313646316,794459.63,919604.21,C1475998599,991220.66,1286372.45,0
8,CASH_IN,164967.08,C971485317,593.0,165560.08,C1216092644,101215.52,271609.94,0
8,PAYMENT,18875.02,C1068496545,12148.0,0.0,M870026554,0.0,0.0,0
8,CASH_IN,133474.79,C425511567,7316254.12,7449728.91,C1697258007,1816502.53,2889500.57,0
8,TRANSFER,225559.92,C1915356334,420.0,0.0,C696705647,227361.57,0.0,0
8,TRANSFER,913898.16,C1280529002,0.0,0.0,C2067546399,202273.8,1318005.5,0
8,CASH_OUT,19434.63,C1177549846,0.0,0.0,C540431138,22545.0,23872.17,0
8,CASH_OUT,82938.8,C1566781417,0.0,0.0,C403254166,237304.6,987888.66,0
8,PAYMENT,5949.95,C1947709583,42613.0,36663.05,M2109661878,0.0,0.0,0
8,CASH_OUT,107137.66,C1652251229,11799.0,0.0,C414821585,539500.29,743038.31,0
8,PAYMENT,16897.27,C960410149,0.0,0.0,M480673968,0.0,0.0,0
8,PAYMENT,410.9,C1397932972,40315.0,39904.1,M1947118497,0.0,0.0,0
8,CASH_OUT,226316.78,C712127983,315259.56,88942.78,C674913323,1240187.69,4984485.97,0
8,PAYMENT,7107.69,C695614523,0.0,0.0,M91501868,0.0,0.0,0
8,PAYMENT,8160.24,C37057775,89618.0,81457.76,M1767897689,0.0,0.0,0
8,CASH_OUT,565832.05,C1200606244,0.0,0.0,C1615804266,1553839.95,4512194.13,0
8,CASH_OUT,132782.24,C1873457853,98621.03,0.0,C872592585,1810540.38,2265853.97,0
8,PAYMENT,11975.27,C1007429494,11150736.44,11138761.17,M507591917,0.0,0.0,0
8,CASH_OUT,7901.49,C1423351450,0.0,0.0,C2120528456,649222.64,657124.13,0
8,PAYMENT,6401.25,C516007922,100347.0,93945.75,M621155607,0.0,0.0,0
8,PAYMENT,1758.44,C155591480,703803.04,702044.6,M315786408,0.0,0.0,0
8,CASH_OUT,217643.28,C139921176,0.0,0.0,C1700355047,589616.88,1455482.66,0
8,CASH_OUT,21096.19,C1120671740,0.0,0.0,C1696218625,449792.91,398732.86,0
8,PAYMENT,7559.19,C524762155,20290.0,12730.81,M306096217,0.0,0.0,0
8,TRANSFER,282684.47,C407432326,0.0,0.0,C1089177065,1476688.47,1076036.85,0
8,CASH_OUT,136474.2,C874613372,0.0,0.0,C506046490,199486.27,254084.28,0
8,PAYMENT,3640.0,C1597149743,132379.14,128739.14,M1468175538,0.0,0.0,0
8,PAYMENT,30103.76,C973494280,2100.46,0.0,M1219432166,0.0,0.0,0
8,PAYMENT,10558.76,C327480521,82345.0,71786.24,M1821733595,0.0,0.0,0
8,CASH_OUT,62212.78,C2037782723,31687.0,0.0,C1315942706,43512.12,105724.9,0
8,PAYMENT,44273.41,C1514018399,0.0,0.0,M1322047461,0.0,0.0,0
8,CASH_OUT,18883.9,C1482088250,0.0,0.0,C170899621,10445324.97,10464208.87,0
8,PAYMENT,23670.74,C1851689695,0.0,0.0,M83161209,0.0,0.0,0
8,CASH_OUT,121657.13,C827496542,0.0,0.0,C74288440,322811.0,0.0,0
8,PAYMENT,8304.94,C630349605,572.0,0.0,M1577294668,0.0,0.0,0
8,CASH_OUT,341803.19,C772796864,31465.0,0.0,C1186157294,47039.0,724652.86,0
8,PAYMENT,5589.29,C1554393050,0.0,0.0,M735565009,0.0,0.0,0
8,CASH_IN,388897.73,C2013616721,8099170.07,8488067.8,C471115623,607059.18,0.0,0
8,CASH_OUT,70549.37,C833702055,0.0,0.0,C522553046,162277.85,232827.22,0
8,PAYMENT,2240.24,C2137113889,20017.0,17776.76,M818123400,0.0,0.0,0
8,PAYMENT,3757.67,C1045018336,120772.35,117014.68,M1685363131,0.0,0.0,0
8,CASH_OUT,76259.4,C853323771,120137.0,43877.6,C717951588,1246092.91,989801.23,0
8,CASH_IN,172495.71,C1914961284,6292509.42,6465005.13,C35263828,821849.37,0.0,0
8,CASH_OUT,196133.89,C1442184835,241482.94,45349.06,C84277455,394790.12,148564.66,0
8,CASH_OUT,84343.04,C1265259916,0.0,0.0,C75457651,194900.12,323253.31,0
8,TRANSFER,576983.86,C1189366992,0.0,0.0,C2086425573,1172586.87,0.0,0
8,PAYMENT,2657.17,C989251906,0.0,0.0,M320065852,0.0,0.0,0
8,CASH_OUT,470737.59,C1368232360,0.0,0.0,C470217116,3026290.1,6821434.41,0
8,CASH_OUT,31195.48,C512784896,0.0,0.0,C1632648448,161149.13,192344.62,0
8,CASH_IN,342611.42,C1853085878,2697720.56,3040331.98,C11003494,15130418.79,15487289.9,0
8,TRANSFER,360910.94,C888604469,23041.0,0.0,C1523536343,394455.36,748485.22,0
8,CASH_IN,162294.76,C1924164689,65992.0,228286.76,C1756732975,0.0,0.0,0
8,CASH_OUT,83674.98,C693757319,70196.0,0.0,C288197656,748029.08,3423141.07,0
8,CASH_IN,39803.02,C2012262622,4243.0,44046.02,C1196307684,0.0,1779906.29,0
8,CASH_OUT,8398.09,C1013015095,0.0,0.0,C1526542158,19959.0,0.0,0
8,PAYMENT,7538.25,C486682930,112321.65,104783.4,M9322405,0.0,0.0,0
8,CASH_OUT,24963.4,C1145389216,584435.13,559471.73,C1249175309,56085.0,0.0,0
8,PAYMENT,358.42,C1136898432,105319.68,104961.27,M1731081465,0.0,0.0,0
8,PAYMENT,7789.76,C1297598062,3020.0,0.0,M1154510556,0.0,0.0,0
8,CASH_OUT,217456.26,C1140137653,301068.0,83611.74,C1790831319,341211.68,758870.91,0
8,PAYMENT,9157.23,C780619746,236.0,0.0,M451161086,0.0,0.0,0
8,PAYMENT,8846.12,C1545398370,0.0,0.0,M1317973795,0.0,0.0,0
8,CASH_IN,135680.27,C1695628971,398.0,136078.27,C1085252849,30760.0,0.0,0
8,CASH_IN,194218.27,C1480495645,2528000.02,2722218.28,C683605346,1176378.08,1371546.23,0
8,CASH_IN,19862.01,C1743304239,3428738.03,3448600.04,C497806226,384761.87,173333.3,0
8,PAYMENT,5074.46,C1176262459,2007.0,0.0,M292254279,0.0,0.0,0
8,PAYMENT,4824.68,C1290931099,0.0,0.0,M1659061618,0.0,0.0,0
8,PAYMENT,4509.68,C1611852010,61595.0,57085.32,M1261328773,0.0,0.0,0
8,PAYMENT,9146.01,C316058325,11518.0,2371.99,M1332350840,0.0,0.0,0
8,PAYMENT,8665.48,C159463325,100332.0,91666.52,M2108235144,0.0,0.0,0
8,PAYMENT,1901.08,C730144738,13772.0,11870.92,M61304121,0.0,0.0,0
8,CASH_OUT,17696.79,C1467269853,22321.0,4624.21,C807247901,218703.0,2080368.86,0
8,CASH_IN,223425.45,C56172612,6409410.55,6632836.01,C978609035,1880108.29,2413840.05,0
8,CASH_IN,288998.52,C1599301152,177587.0,466585.52,C1866251295,265649.15,0.0,0
8,PAYMENT,35385.67,C1690836630,464678.64,429292.96,M518599547,0.0,0.0,0
8,CASH_IN,63343.81,C1795654586,24839.0,88182.81,C1643217922,651981.02,584058.19,0
8,CASH_OUT,321042.09,C39485381,0.0,0.0,C1564931235,547550.04,742404.44,0
8,TRANSFER,1991912.75,C536537302,72525.0,0.0,C198998678,146.0,1948511.61,0
8,CASH_IN,537805.94,C1832543786,5267223.51,5805029.45,C1262822392,22787471.89,22641471.24,0
8,PAYMENT,8301.64,C1645486902,39631.0,31329.36,M1654166915,0.0,0.0,0
8,PAYMENT,5948.52,C1183017138,11120.0,5171.48,M825607986,0.0,0.0,0
8,PAYMENT,5364.72,C2075160759,11398.0,6033.28,M223450876,0.0,0.0,0
